song_name,artist_name,played_at_list,timestamp
Filma Solo,Gabríel Ólafs,2022-12-25T08:06:36.451Z,2022-12-25
Playful (variation),Carlos Cipa,2022-12-25T08:03:20.707Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:56:37.402Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:52:35.380Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:48:34.395Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:44:32.397Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:40:30.399Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:36:29.396Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:32:27.402Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:28:26.398Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:24:24.393Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:20:22.396Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:16:21.418Z,2022-12-25
All I Want for Christmas Is You,Mariah Carey,2022-12-25T07:12:19.601Z,2022-12-25
Last Christmas,Wham!,2022-12-25T07:08:17.244Z,2022-12-25
Table For Two,Abel Korzeniowski,2022-12-24T10:40:09.769Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:36:45.751Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:33:22.712Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:29:58.774Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:26:34.720Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:23:10.751Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:19:46.725Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:16:22.718Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:12:58.749Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:09:34.748Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:06:10.741Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T10:02:46.742Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:59:22.730Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:55:58.754Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:52:34.766Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:49:10.719Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:45:46.703Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:42:22.717Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:38:58.760Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:35:34.743Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:32:10.793Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:28:46.737Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:25:22.633Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T09:00:16.748Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:56:52.739Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:53:28.740Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:50:04.729Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:46:40.749Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:43:16.691Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:39:52.756Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:36:28.754Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:33:04.772Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:29:40.726Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:26:17.112Z,2022-12-24
Table For Two,Abel Korzeniowski,2022-12-24T08:14:36.760Z,2022-12-24
